country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,33,39,39,111
CHN,33,27,23,83
AUS,18,16,14,48
JPN,16,8,13,37
FRA,14,20,22,56
GBR,14,19,23,56
KOR,13,8,7,28
NED,13,6,10,29
ITA,11,12,12,35
GER,11,9,8,28
CAN,7,6,11,24
NZL,6,7,2,15
HUN,5,5,5,15
UZB,5,0,3,8
ESP,4,3,8,15
IRL,4,0,3,7
BRA,3,6,9,18
UKR,3,4,4,11
SWE,3,4,3,10
ROU,3,4,1,8
BUL,3,0,3,6
IRI,2,4,2,8
AZE,2,2,1,5
CRO,2,1,3,6
CUB,2,1,3,6
KEN,2,1,3,6
SRB,2,1,0,3
BEL,2,0,5,7
AUT,2,0,2,4
HKG,2,0,2,4
PHI,2,0,2,4
CZE,2,0,1,3
ALG,2,0,0,2
INA,2,0,0,2
ISR,1,4,1,6
KAZ,1,3,3,7
JAM,1,3,2,6
THA,1,3,2,6
AIN,1,3,0,4
SUI,1,2,5,8
DEN,1,2,2,5
RSA,1,2,2,5
ECU,1,2,1,4
GEO,1,2,1,4
GRE,1,1,6,8
POL,1,1,5,7
ARG,1,1,1,3
NOR,1,1,1,3
TUN,1,1,1,3
BRN,1,1,0,2
CHI,1,1,0,2
LCA,1,1,0,2
SLO,1,1,0,2
UGA,1,1,0,2
TPE,1,0,5,6
DOM,1,0,2,3
GUA,1,0,1,2
MAR,1,0,1,2
BOT,1,0,0,1
DMA,1,0,0,1
PAK,1,0,0,1
TUR,0,3,3,6
MEX,0,3,2,5
COL,0,3,0,3
PRK,0,2,4,6
LTU,0,2,2,4
ARM,0,2,1,3
POR,0,2,1,3
ETH,0,2,0,2
IND,0,1,5,6
KGZ,0,1,3,4
MDA,0,1,3,4
KOS,0,1,1,2
CYP,0,1,0,1
FIJ,0,1,0,1
JOR,0,1,0,1
MGL,0,1,0,1
TJK,0,0,3,3
GRN,0,0,2,2
MAS,0,0,2,2
CPV,0,0,1,1
EGY,0,0,1,1
EOR,0,0,1,1
PER,0,0,1,1
SGP,0,0,1,1
SVK,0,0,1,1
ZAM,0,0,1,1
